BookingID,CustomerID,DriverID,CabID,BookingDate,PickupLocation,DropoffLocation,TripStart,TripEnd,DistanceKM,Fare,Status
22,61,17,40,2025-08-19 06:20:12,Office,Station,2025-08-19 06:30:12,2025-08-19 07:08:12,19.01,205.55,Completed
23,267,29,7,2025-07-28 03:38:19,University,Office,2025-07-28 04:00:19,,9.56,121.84,Cancelled
24,100,26,42,2025-07-29 09:56:59,Office,University,2025-07-29 10:08:59,2025-07-29 10:44:59,18.01,237.34,Completed
25,308,46,11,2025-06-18 04:05:05,University,Market,2025-06-18 04:10:05,,12.7,169.08,Ongoing
26,463,47,58,2025-09-29 19:35:26,Airport,University,2025-09-29 19:40:26,2025-09-29 19:51:26,5.7,66.21,Completed
27,390,48,60,2025-09-17 18:41:52,Airport,Hotel,2025-09-17 18:48:52,2025-09-17 18:52:52,2.25,25.0,Completed
28,488,39,58,2025-07-14 11:46:01,Market,Airport,2025-07-14 12:10:01,2025-07-14 12:26:01,8.15,120.96,Completed
29,389,18,9,2025-04-19 05:47:14,Market,Station,2025-04-19 05:56:14,2025-04-19 06:07:14,5.98,62.34,Completed
30,139,39,58,2025-04-20 20:12:55,Market,Hotel,2025-04-20 20:19:55,,1.86,27.33,Cancelled
31,208,15,54,2025-09-10 05:55:02,Hotel,Airport,2025-09-10 06:18:02,2025-09-10 06:42:02,12.3,167.11,Completed
32,172,30,50,2025-09-26 02:09:02,Hotel,University,2025-09-26 02:33:02,2025-09-26 02:40:02,3.84,45.91,Completed
33,307,17,40,2025-04-13 21:57:00,Mall,Hotel,2025-04-13 22:16:00,2025-04-13 22:47:00,15.77,161.23,Completed
34,450,50,2,2025-09-16 00:19:09,Airport,Hotel,2025-09-16 00:31:09,2025-09-16 00:42:09,5.71,73.57,Completed
35,46,1,47,2025-08-10 21:43:18,Office,University,2025-08-10 22:07:18,2025-08-10 22:56:18,24.85,286.38,Completed
36,157,9,31,2025-08-26 14:14:28,Airport,University,2025-08-26 14:40:28,2025-08-26 15:05:28,12.87,146.32,Completed
37,102,44,5,2025-05-31 05:16:26,Airport,Station,2025-05-31 05:27:26,2025-05-31 06:03:26,18.06,207.8,Completed
38,149,21,22,2025-05-24 09:06:34,Office,Market,2025-05-24 09:17:34,2025-05-24 09:24:34,3.68,45.09,Completed
39,289,3,36,2025-05-19 02:34:14,Mall,Airport,2025-05-19 02:42:14,2025-05-19 03:30:14,24.08,332.85,Completed
40,279,22,55,2025-06-23 15:12:36,Mall,University,2025-06-23 15:19:36,,7.24,86.71,Ongoing
41,13,7,43,2025-07-17 23:04:41,University,Airport,2025-07-17 23:11:41,2025-07-17 23:45:41,17.34,243.47,Completed
42,415,9,31,2025-07-08 23:11:13,Airport,Office,2025-07-08 23:41:13,2025-07-09 00:08:13,13.81,176.49,Completed
43,251,44,5,2025-06-14 06:08:39,Office,University,2025-06-14 06:36:39,2025-06-14 07:13:39,18.71,195.88,Completed
44,462,8,45,2025-08-07 16:30:03,Market,Mall,2025-08-07 16:52:03,2025-08-07 17:41:03,24.63,347.94,Completed
45,88,45,47,2025-06-08 08:19:33,Station,Mall,2025-06-08 08:25:33,2025-06-08 08:58:33,16.51,243.21,Completed
46,383,2,14,2025-05-08 09:34:27,Office,Mall,2025-05-08 10:00:27,2025-05-08 10:30:27,15.31,215.46,Completed
47,411,36,14,2025-05-18 10:57:55,Office,Market,2025-05-18 11:06:55,2025-05-18 11:23:55,8.79,105.4,Completed
48,5,44,5,2025-04-15 05:39:58,Mall,Airport,2025-04-15 06:08:58,2025-04-15 06:32:58,12.1,142.46,Completed
49,28,44,5,2025-04-20 12:33:13,Market,Mall,2025-04-20 13:00:13,2025-04-20 13:23:13,11.98,140.98,Completed
50,484,24,34,2025-06-15 13:25:44,University,Office,2025-06-15 13:43:44,2025-06-15 14:04:44,10.85,152.98,Completed
51,207,34,9,2025-06-07 04:39:46,Office,Hotel,2025-06-07 05:07:46,2025-06-07 05:16:46,4.55,48.73,Completed
52,160,45,47,2025-05-22 15:57:05,Hotel,Mall,2025-05-22 16:11:05,2025-05-22 17:00:05,24.7,263.56,Completed
53,310,36,14,2025-08-09 03:08:05,Mall,University,2025-08-09 03:24:05,,13.31,167.67,Cancelled
54,110,8,45,2025-06-05 00:36:41,Mall,University,2025-06-05 00:59:41,2025-06-05 01:34:41,17.74,186.31,Completed
55,147,24,34,2025-07-17 22:19:08,Office,University,2025-07-17 22:30:08,2025-07-17 23:15:08,22.94,284.51,Completed
56,318,24,34,2025-09-25 13:32:32,Hotel,University,2025-09-25 13:40:32,,11.15,141.5,Cancelled
57,92,42,14,2025-06-09 04:09:00,University,Office,2025-06-09 04:31:00,2025-06-09 04:58:00,13.64,195.04,Completed
58,280,49,12,2025-06-11 06:50:50,Airport,Office,2025-06-11 06:55:50,2025-06-11 07:07:50,6.17,75.89,Completed
59,337,48,60,2025-07-03 02:35:30,Hotel,Airport,2025-07-03 02:52:30,2025-07-03 03:13:30,10.86,148.7,Completed
60,196,13,17,2025-09-20 12:26:29,University,Market,2025-09-20 12:55:29,2025-09-20 13:33:29,19.4,230.99,Completed
61,89,26,42,2025-09-06 17:35:41,Market,Station,2025-09-06 17:54:41,2025-09-06 18:08:41,7.0,92.68,Completed
62,258,3,36,2025-09-01 06:27:05,Office,Airport,2025-09-01 06:43:05,,19.8,242.04,Cancelled
63,391,19,17,2025-06-04 04:19:27,Market,Station,2025-06-04 04:35:27,,4.56,58.42,Cancelled
64,400,13,17,2025-07-18 13:45:18,University,Mall,2025-07-18 13:53:18,2025-07-18 14:04:18,5.63,75.93,Completed
65,181,29,7,2025-09-17 03:34:53,Hotel,Office,2025-09-17 03:52:53,2025-09-17 04:33:53,20.6,261.24,Completed
66,201,25,53,2025-06-18 05:02:31,Mall,Station,2025-06-18 05:26:31,2025-06-18 06:15:31,24.59,253.44,Completed
67,191,25,53,2025-07-03 03:33:21,Office,Market,2025-07-03 03:38:21,,17.47,225.88,Cancelled
68,182,4,34,2025-10-02 21:04:34,Mall,Office,2025-10-02 21:32:34,2025-10-02 21:57:34,12.81,188.31,Completed
69,167,20,56,2025-09-22 17:38:07,Office,Airport,2025-09-22 17:57:07,2025-09-22 18:15:07,9.3,95.52,Completed
70,187,35,39,2025-08-09 13:05:27,Market,Mall,2025-08-09 13:20:27,2025-08-09 14:00:27,20.41,237.12,Completed
71,319,7,43,2025-08-09 15:05:44,Hotel,Mall,2025-08-09 15:27:44,2025-08-09 16:09:44,21.25,302.21,Completed
72,481,41,34,2025-06-24 10:00:37,Office,Station,2025-06-24 10:30:37,2025-06-24 10:32:37,1.1,12.33,Completed
73,410,14,30,2025-08-27 06:19:36,Airport,Hotel,2025-08-27 06:32:36,2025-08-27 07:02:36,15.22,182.73,Completed
74,94,24,34,2025-08-16 10:44:20,Station,Mall,2025-08-16 11:02:20,2025-08-16 11:41:20,19.68,222.06,Completed
75,413,48,60,2025-04-20 19:20:16,Hotel,Airport,2025-04-20 19:50:16,,14.09,158.71,Cancelled
76,329,35,39,2025-04-14 13:36:47,University,Mall,2025-04-14 14:02:47,2025-04-14 14:50:47,24.36,362.3,Completed
77,41,48,60,2025-07-20 04:55:58,University,Airport,2025-07-20 05:09:58,2025-07-20 05:33:58,12.28,160.06,Completed
78,437,29,7,2025-05-14 19:18:16,Station,Mall,2025-05-14 19:42:16,2025-05-14 20:18:16,18.19,205.3,Completed
79,436,3,36,2025-08-22 08:35:13,Office,University,2025-08-22 08:55:13,2025-08-22 09:39:13,22.42,241.1,Completed
80,443,27,19,2025-05-21 15:51:03,Mall,Airport,2025-05-21 16:02:03,,11.46,159.13,Cancelled
81,124,26,42,2025-06-01 15:49:55,Market,Mall,2025-06-01 15:58:55,2025-06-01 16:33:55,17.73,183.23,Completed
82,471,17,40,2025-06-28 09:04:11,Market,Airport,2025-06-28 09:10:11,2025-06-28 09:56:11,23.09,294.04,Completed
83,152,41,34,2025-05-06 08:41:30,Mall,Airport,2025-05-06 09:03:30,2025-05-06 09:29:30,13.28,156.72,Completed
84,103,48,60,2025-05-04 07:19:01,Hotel,Market,2025-05-04 07:35:01,,1.02,11.36,Cancelled
85,450,16,11,2025-06-12 18:08:57,Station,Market,2025-06-12 18:29:57,2025-06-12 19:18:57,24.6,338.91,Completed
86,259,48,60,2025-06-10 01:19:39,Market,Mall,2025-06-10 01:31:39,2025-06-10 01:46:39,7.58,94.21,Completed
87,234,38,56,2025-06-30 18:01:51,Station,Hotel,2025-06-30 18:08:51,2025-06-30 18:19:51,5.89,85.22,Completed
88,326,15,54,2025-04-11 16:15:30,University,Mall,2025-04-11 16:43:30,2025-04-11 16:57:30,7.44,83.93,Completed
89,348,33,5,2025-08-21 08:59:18,Hotel,Market,2025-08-21 09:22:18,2025-08-21 09:45:18,11.51,121.78,Completed
90,473,17,40,2025-04-28 03:10:13,Market,Station,2025-04-28 03:17:13,2025-04-28 03:25:13,4.05,46.99,Completed
91,494,23,28,2025-09-01 21:53:52,Airport,Mall,2025-09-01 22:07:52,2025-09-01 22:37:52,15.29,183.68,Completed
92,70,16,11,2025-04-30 04:13:26,University,Office,2025-04-30 04:43:26,2025-04-30 05:30:26,23.5,243.43,Completed
93,188,38,56,2025-06-13 14:05:05,University,Hotel,2025-06-13 14:10:05,2025-06-13 14:19:05,4.82,50.49,Completed
94,139,24,34,2025-04-17 19:15:17,Office,Airport,2025-04-17 19:20:17,2025-04-17 19:42:17,11.2,132.65,Completed
95,436,30,50,2025-04-13 21:47:03,Hotel,Office,2025-04-13 22:12:03,2025-04-13 22:51:03,19.79,260.55,Completed
96,289,39,58,2025-08-26 05:36:07,Station,Hotel,2025-08-26 05:51:07,2025-08-26 05:57:07,3.34,49.12,Completed
97,292,19,17,2025-09-08 02:51:48,University,Office,2025-09-08 03:16:48,2025-09-08 03:21:48,2.67,34.01,Completed
98,35,11,34,2025-06-03 06:06:28,Office,Hotel,2025-06-03 06:15:28,2025-06-03 07:02:28,23.79,281.51,Completed
99,114,40,3,2025-09-28 02:00:14,University,Office,2025-09-28 02:07:14,2025-09-28 02:54:14,23.98,243.68,Completed
100,211,13,17,2025-08-27 17:39:53,Airport,University,2025-08-27 18:00:53,2025-08-27 18:41:53,20.57,307.3,Completed
101,92,43,14,2025-05-07 15:17:57,Airport,Mall,2025-05-07 15:29:57,2025-05-07 16:06:57,18.6,242.55,Completed
102,60,48,60,2025-06-10 09:23:38,Mall,Hotel,2025-06-10 09:52:38,2025-06-10 10:03:38,5.61,83.89,Completed
103,66,8,45,2025-07-21 14:53:41,Mall,Airport,2025-07-21 15:16:41,2025-07-21 16:03:41,23.66,248.98,Completed
104,408,20,56,2025-08-26 23:24:03,Station,Hotel,2025-08-26 23:50:03,2025-08-27 00:33:03,21.7,245.78,Completed
105,94,39,58,2025-05-16 20:34:43,Station,Market,2025-05-16 21:02:43,2025-05-16 21:05:43,1.75,24.22,Completed
106,460,3,36,2025-04-23 17:50:17,Market,University,2025-04-23 18:09:17,2025-04-23 18:44:17,17.97,192.27,Completed
107,330,23,28,2025-04-28 17:34:24,Hotel,Office,2025-04-28 17:46:24,2025-04-28 17:49:24,1.5,17.67,Completed
108,220,22,55,2025-04-21 04:13:55,Station,Airport,2025-04-21 04:30:55,2025-04-21 04:55:55,12.78,146.17,Completed
109,337,9,31,2025-05-15 08:12:56,University,Market,2025-05-15 08:29:56,,3.72,42.83,Ongoing
110,342,17,40,2025-07-17 08:57:14,Mall,Market,2025-07-17 09:07:14,,10.98,111.46,Ongoing
111,131,11,34,2025-07-11 07:27:14,Station,Market,2025-07-11 07:37:14,2025-07-11 08:05:14,14.3,178.87,Completed
112,87,17,40,2025-09-12 04:08:58,Hotel,University,2025-09-12 04:33:58,2025-09-12 04:59:58,13.24,162.89,Completed
113,479,18,9,2025-07-07 06:38:15,Market,Office,2025-07-07 06:56:15,2025-07-07 06:58:15,1.28,16.1,Completed
114,352,18,9,2025-09-30 01:20:49,Market,Office,2025-09-30 01:48:49,2025-09-30 01:53:49,2.99,35.98,Completed
115,144,36,14,2025-09-07 19:09:42,Office,Market,2025-09-07 19:30:42,2025-09-07 20:16:42,23.01,248.24,Completed
116,123,47,58,2025-09-01 15:12:25,Station,Market,2025-09-01 15:40:25,,22.05,247.78,Cancelled
117,429,18,9,2025-07-08 22:19:30,Station,Airport,2025-07-08 22:28:30,2025-07-08 22:34:30,3.07,32.17,Completed
118,369,9,31,2025-10-04 18:29:07,Market,Hotel,2025-10-04 18:46:07,2025-10-04 19:13:07,13.61,186.95,Completed
119,468,13,17,2025-08-21 19:26:44,Station,Airport,2025-08-21 19:35:44,,10.83,123.37,Cancelled
120,223,4,34,2025-06-23 12:39:12,Airport,Mall,2025-06-23 13:06:12,,7.67,112.25,Ongoing
121,216,41,34,2025-08-11 21:54:41,Market,Hotel,2025-08-11 22:09:41,,13.2,191.28,Ongoing
122,247,43,14,2025-08-04 11:25:22,Airport,Mall,2025-08-04 11:46:22,2025-08-04 11:51:22,2.64,38.58,Completed
123,66,6,34,2025-10-07 16:40:17,Station,Mall,2025-10-07 16:56:17,2025-10-07 17:38:17,21.03,273.32,Completed
124,86,7,43,2025-08-16 07:30:55,Market,Office,2025-08-16 07:50:55,2025-08-16 08:19:55,14.91,154.19,Completed
125,375,42,14,2025-09-26 10:36:13,Market,University,2025-09-26 11:03:13,2025-09-26 11:11:13,4.32,62.7,Completed
126,278,29,7,2025-09-27 18:52:33,Office,Hotel,2025-09-27 19:19:33,2025-09-27 19:54:33,17.91,195.71,Completed
127,401,23,28,2025-06-29 16:46:22,Hotel,Station,2025-06-29 17:14:22,2025-06-29 17:58:22,22.23,241.63,Completed
128,34,11,34,2025-06-03 10:22:43,Mall,Airport,2025-06-03 10:32:43,2025-06-03 10:53:43,10.54,125.22,Completed
129,187,24,34,2025-09-20 10:44:59,Market,University,2025-09-20 11:14:59,,17.12,255.82,Cancelled
130,17,7,43,2025-08-16 08:16:35,Hotel,University,2025-08-16 08:26:35,,15.18,183.76,Cancelled
131,165,46,11,2025-08-11 05:08:22,Station,Airport,2025-08-11 05:36:22,2025-08-11 05:38:22,1.39,15.21,Completed
132,138,47,58,2025-05-10 02:04:57,Hotel,Market,2025-05-10 02:23:57,,11.17,122.88,Cancelled
133,304,42,14,2025-04-19 08:13:19,Market,Mall,2025-04-19 08:25:19,,9.95,114.7,Cancelled
134,483,4,34,2025-08-13 05:13:07,Office,Mall,2025-08-13 05:25:07,,17.6,228.45,Cancelled
135,66,49,12,2025-07-08 03:50:43,University,Mall,2025-07-08 04:02:43,2025-07-08 04:17:43,7.93,96.0,Completed
136,53,12,58,2025-09-17 02:48:11,Mall,Market,2025-09-17 03:15:11,,18.06,252.77,Cancelled
137,12,21,22,2025-09-25 06:58:21,Airport,Market,2025-09-25 07:14:21,,24.76,258.46,Cancelled
138,168,42,14,2025-04-27 18:34:03,University,Hotel,2025-04-27 18:41:03,,13.24,169.41,Cancelled
139,366,20,56,2025-05-23 17:38:56,Hotel,Market,2025-05-23 17:46:56,2025-05-23 18:21:56,17.57,234.42,Completed
140,286,13,17,2025-08-02 22:07:03,Office,Mall,2025-08-02 22:18:03,,2.82,34.08,Cancelled
141,325,11,34,2025-07-28 04:56:27,Hotel,Mall,2025-07-28 05:11:27,2025-07-28 05:22:27,5.78,60.88,Completed
142,406,33,5,2025-05-15 00:10:10,Market,Station,2025-05-15 00:29:10,2025-05-15 00:50:10,10.54,129.12,Completed
143,456,46,11,2025-08-02 16:18:17,Hotel,Market,2025-08-02 16:29:17,2025-08-02 16:57:17,14.0,176.27,Completed
144,452,15,54,2025-07-10 08:52:45,Mall,University,2025-07-10 09:07:45,2025-07-10 09:36:45,14.64,163.6,Completed
145,408,6,34,2025-07-20 15:31:13,Airport,Market,2025-07-20 16:00:13,2025-07-20 16:26:13,13.05,193.35,Completed
146,116,22,55,2025-07-05 20:37:57,Hotel,University,2025-07-05 20:50:57,,1.23,13.21,Ongoing
147,40,38,56,2025-05-21 08:41:33,Office,Mall,2025-05-21 08:54:33,2025-05-21 09:02:33,4.27,60.08,Completed
148,218,47,58,2025-10-04 00:59:07,Mall,Airport,2025-10-04 01:27:07,2025-10-04 02:09:07,21.0,211.43,Completed
149,113,6,34,2025-05-26 15:45:21,Market,Office,2025-05-26 16:09:21,2025-05-26 16:16:21,3.71,37.7,Completed
150,409,28,54,2025-07-12 19:50:20,Hotel,Office,2025-07-12 20:19:20,2025-07-12 20:22:20,1.98,26.08,Completed
151,152,36,14,2025-04-21 02:53:37,Station,Market,2025-04-21 03:21:37,2025-04-21 03:37:37,8.26,99.59,Completed
152,400,14,30,2025-05-06 14:38:16,University,Station,2025-05-06 15:08:16,,11.57,135.06,Ongoing
153,392,35,39,2025-06-12 03:15:01,Office,Station,2025-06-12 03:20:01,2025-06-12 03:27:01,3.58,42.09,Completed
154,92,31,27,2025-09-13 17:10:21,Market,Office,2025-09-13 17:19:21,2025-09-13 17:48:21,14.85,207.9,Completed
155,167,25,53,2025-08-12 08:07:29,Airport,University,2025-08-12 08:14:29,2025-08-12 08:54:29,20.42,259.02,Completed
156,415,14,30,2025-08-08 05:26:03,Mall,Airport,2025-08-08 05:32:03,,19.22,285.91,Cancelled
157,178,15,54,2025-09-16 06:40:21,Market,Hotel,2025-09-16 06:58:21,2025-09-16 07:16:21,9.01,100.06,Completed
158,161,44,5,2025-08-31 17:11:10,Airport,Office,2025-08-31 17:25:10,2025-08-31 17:53:10,14.12,147.21,Completed
159,57,17,40,2025-04-30 05:13:19,University,Office,2025-04-30 05:22:19,,10.61,140.46,Ongoing
160,159,20,56,2025-05-26 10:59:49,Hotel,Market,2025-05-26 11:12:49,2025-05-26 11:56:49,22.25,246.96,Completed
161,468,31,27,2025-09-05 11:21:36,Market,Office,2025-09-05 11:31:36,2025-09-05 11:50:36,9.93,136.16,Completed
162,180,26,42,2025-04-21 17:48:30,Mall,Office,2025-04-21 17:54:30,2025-04-21 17:56:30,1.44,15.58,Completed
163,419,37,50,2025-09-03 06:57:56,Hotel,Mall,2025-09-03 07:17:56,,7.63,103.73,Cancelled
164,224,20,56,2025-07-06 03:48:35,University,Market,2025-07-06 04:05:35,2025-07-06 04:42:35,18.64,278.35,Completed
165,463,25,53,2025-09-22 21:10:41,Mall,Hotel,2025-09-22 21:30:41,2025-09-22 21:36:41,3.14,42.4,Completed
166,125,8,45,2025-06-07 14:57:40,Hotel,Mall,2025-06-07 15:13:40,2025-06-07 15:39:40,13.29,133.58,Completed
167,195,17,40,2025-05-09 05:20:36,Office,Mall,2025-05-09 05:37:36,2025-05-09 06:01:36,12.22,159.75,Completed
168,56,22,55,2025-09-25 14:50:55,Airport,Market,2025-09-25 14:56:55,2025-09-25 15:44:55,24.43,308.84,Completed
169,2,32,35,2025-06-17 11:09:36,Airport,University,2025-06-17 11:38:36,,2.57,32.32,Ongoing
170,52,27,19,2025-08-14 18:03:12,Mall,Station,2025-08-14 18:08:12,2025-08-14 18:26:12,9.45,101.07,Completed
171,423,12,58,2025-07-23 08:19:05,Office,Station,2025-07-23 08:49:05,,21.21,214.35,Cancelled
172,20,40,3,2025-04-10 23:59:48,Station,Market,2025-04-11 00:10:48,2025-04-11 00:16:48,3.35,39.37,Completed
173,348,26,42,2025-04-17 07:07:02,Station,Hotel,2025-04-17 07:20:02,2025-04-17 07:57:02,18.69,210.25,Completed
174,55,50,2,2025-07-02 13:34:00,Office,Mall,2025-07-02 13:56:00,,9.51,119.7,Cancelled
175,358,40,3,2025-09-13 13:17:57,Office,Mall,2025-09-13 13:31:57,2025-09-13 13:49:57,9.21,119.39,Completed
176,436,38,56,2025-04-17 08:17:25,Office,Hotel,2025-04-17 08:33:25,2025-04-17 09:04:25,15.76,198.76,Completed
177,478,13,17,2025-08-29 16:18:24,Office,Airport,2025-08-29 16:32:24,2025-08-29 17:10:24,19.1,286.31,Completed
178,219,44,5,2025-05-19 19:16:11,Hotel,University,2025-05-19 19:22:11,2025-05-19 19:48:11,13.33,189.54,Completed
179,234,20,56,2025-07-10 01:45:22,Mall,Airport,2025-07-10 02:02:22,,22.93,286.73,Cancelled
180,338,21,22,2025-08-08 09:24:38,Station,Office,2025-08-08 09:40:38,2025-08-08 10:12:38,16.13,208.24,Completed
181,63,40,3,2025-08-25 12:44:46,Hotel,Airport,2025-08-25 13:03:46,,18.39,196.47,Cancelled
182,265,45,47,2025-07-07 10:18:51,Airport,University,2025-07-07 10:27:51,,15.4,155.04,Cancelled
183,247,42,14,2025-04-12 12:59:00,Station,University,2025-04-12 13:23:00,,10.98,117.47,Cancelled
184,30,48,60,2025-06-18 01:16:21,Office,University,2025-06-18 01:27:21,2025-06-18 01:43:21,8.4,118.05,Completed
185,478,18,9,2025-05-16 19:23:02,Station,Office,2025-05-16 19:43:02,2025-05-16 19:54:02,5.52,66.52,Completed
186,195,43,14,2025-08-10 03:06:57,Hotel,Mall,2025-08-10 03:15:57,2025-08-10 03:55:57,20.44,275.15,Completed
187,311,28,54,2025-04-23 20:12:51,Station,Office,2025-04-23 20:30:51,2025-04-23 20:32:51,1.05,12.3,Completed
188,275,6,34,2025-07-23 16:05:37,Office,Station,2025-07-23 16:10:37,2025-07-23 16:28:37,9.36,95.26,Completed
189,253,27,19,2025-05-02 07:28:14,Station,Hotel,2025-05-02 07:51:14,,7.9,105.28,Cancelled
190,452,3,36,2025-04-27 18:09:02,Station,Mall,2025-04-27 18:30:02,,1.94,21.22,Ongoing
191,155,46,11,2025-09-19 19:06:54,Mall,Station,2025-09-19 19:30:54,,12.65,134.18,Cancelled
192,413,30,50,2025-08-03 03:41:51,Hotel,Airport,2025-08-03 03:52:51,2025-08-03 04:04:51,6.08,70.32,Completed
193,11,15,54,2025-08-25 12:39:28,Station,Market,2025-08-25 12:47:28,2025-08-25 13:01:28,7.34,76.0,Completed
194,222,27,19,2025-06-06 16:19:55,Station,Market,2025-06-06 16:45:55,2025-06-06 17:34:55,24.82,265.7,Completed
195,423,9,31,2025-05-30 20:10:46,Hotel,Mall,2025-05-30 20:30:46,2025-05-30 20:41:46,5.93,77.15,Completed
196,328,30,50,2025-09-15 02:51:46,Station,University,2025-09-15 03:03:46,,13.42,137.68,Cancelled
197,232,42,14,2025-06-08 18:22:07,Airport,Market,2025-06-08 18:47:07,2025-06-08 19:02:07,7.76,85.41,Completed
198,24,22,55,2025-05-27 16:39:43,Mall,Market,2025-05-27 17:09:43,2025-05-27 17:51:43,21.12,271.01,Completed
199,500,19,17,2025-08-19 21:57:26,Airport,Mall,2025-08-19 22:19:26,,12.25,176.23,Cancelled
200,486,26,42,2025-05-27 03:51:46,Office,Market,2025-05-27 03:57:46,2025-05-27 04:20:46,11.72,135.45,Completed
201,327,20,56,2025-09-26 02:26:19,University,Mall,2025-09-26 02:50:19,2025-09-26 03:26:19,18.09,207.18,Completed
202,18,38,56,2025-08-30 09:39:45,University,Office,2025-08-30 09:56:45,,19.19,225.19,Cancelled
203,279,28,54,2025-10-07 04:48:21,Mall,Station,2025-10-07 05:06:21,2025-10-07 05:26:21,10.47,129.45,Completed
204,233,38,56,2025-06-13 11:02:18,Station,Market,2025-06-13 11:22:18,,17.85,256.98,Cancelled
205,188,43,14,2025-08-03 05:31:04,Station,Market,2025-08-03 05:40:04,2025-08-03 06:05:04,12.79,171.24,Completed
206,301,12,58,2025-09-18 12:38:19,University,Mall,2025-09-18 13:01:19,2025-09-18 13:17:19,8.27,106.84,Completed
207,477,19,17,2025-07-13 11:48:13,University,Mall,2025-07-13 12:04:13,,1.6,17.83,Cancelled
208,459,4,34,2025-08-03 05:33:07,University,Hotel,2025-08-03 05:45:07,2025-08-03 06:26:07,20.64,226.05,Completed
209,469,8,45,2025-06-15 16:33:17,Mall,University,2025-06-15 16:59:17,,18.93,247.19,Cancelled
210,346,16,11,2025-09-24 12:19:43,Station,University,2025-09-24 12:36:43,,23.38,270.61,Ongoing
211,496,13,17,2025-05-22 00:54:03,Market,Office,2025-05-22 01:17:03,,17.67,217.33,Ongoing
212,41,45,47,2025-05-01 11:52:18,Station,Airport,2025-05-01 12:19:18,2025-05-01 13:05:18,23.37,285.77,Completed
213,151,16,11,2025-05-10 08:33:04,Hotel,Office,2025-05-10 08:38:04,2025-05-10 09:14:04,18.26,268.84,Completed
214,43,36,14,2025-10-02 02:12:07,Mall,University,2025-10-02 02:34:07,2025-10-02 02:57:07,11.73,168.53,Completed
215,162,8,45,2025-09-21 03:13:11,Airport,University,2025-09-21 03:43:11,2025-09-21 03:59:11,8.15,105.17,Completed
216,139,19,17,2025-07-09 12:08:55,Hotel,University,2025-07-09 12:27:55,2025-07-09 12:29:55,1.47,15.72,Completed
217,67,8,45,2025-05-01 14:48:27,Station,Airport,2025-05-01 15:06:27,2025-05-01 15:32:27,13.0,183.67,Completed
218,375,46,11,2025-07-24 03:20:25,Airport,Market,2025-07-24 03:37:25,2025-07-24 04:02:25,12.76,134.38,Completed
219,254,5,31,2025-09-06 11:55:16,Mall,Market,2025-09-06 12:19:16,2025-09-06 12:49:16,15.45,207.83,Completed
