TripID,BookingID,StartTime,EndTime,DistanceKM,Fare,PaymentMethod,SurgeMultiplier,Stops,GPSRoute
60,60,2025-09-20 12:55:29,2025-09-20 13:33:29,19.4,230.99,Wallet,1.3,1,
61,61,2025-09-06 17:54:41,2025-09-06 18:08:41,7.0,92.68,Card,1.29,0,
64,64,2025-07-18 13:53:18,2025-07-18 14:04:18,5.63,75.93,Card,1.45,0,
65,65,2025-09-17 03:52:53,2025-09-17 04:33:53,20.6,261.24,Wallet,1.16,1,
66,66,2025-06-18 05:26:31,2025-06-18 06:15:31,24.59,253.44,Cash,1.31,1,
68,68,2025-10-02 21:32:34,2025-10-02 21:57:34,12.81,188.31,Cash,1.27,0,
69,69,2025-09-22 17:57:07,2025-09-22 18:15:07,9.3,95.52,Cash,1.04,0,
70,70,2025-08-09 13:20:27,2025-08-09 14:00:27,20.41,237.12,Cash,1.49,1,
71,71,2025-08-09 15:27:44,2025-08-09 16:09:44,21.25,302.21,Cash,1.0,0,
72,72,2025-06-24 10:30:37,2025-06-24 10:32:37,1.1,12.33,Wallet,1.11,0,
73,73,2025-08-27 06:32:36,2025-08-27 07:02:36,15.22,182.73,Card,1.07,2,
74,74,2025-08-16 11:02:20,2025-08-16 11:41:20,19.68,222.06,Wallet,1.42,0,
76,76,2025-04-14 14:02:47,2025-04-14 14:50:47,24.36,362.3,Card,1.01,1,
77,77,2025-07-20 05:09:58,2025-07-20 05:33:58,12.28,160.06,Cash,1.36,0,
78,78,2025-05-14 19:42:16,2025-05-14 20:18:16,18.19,205.3,Cash,1.19,0,
79,79,2025-08-22 08:55:13,2025-08-22 09:39:13,22.42,241.1,Wallet,1.32,3,
81,81,2025-06-01 15:58:55,2025-06-01 16:33:55,17.73,183.23,Wallet,1.12,3,
82,82,2025-06-28 09:10:11,2025-06-28 09:56:11,23.09,294.04,Wallet,1.26,3,
83,83,2025-05-06 09:03:30,2025-05-06 09:29:30,13.28,156.72,Card,1.05,0,
85,85,2025-06-12 18:29:57,2025-06-12 19:18:57,24.6,338.91,Wallet,1.22,3,
86,86,2025-06-10 01:31:39,2025-06-10 01:46:39,7.58,94.21,Card,1.27,2,
87,87,2025-06-30 18:08:51,2025-06-30 18:19:51,5.89,85.22,Cash,1.45,2,
88,88,2025-04-11 16:43:30,2025-04-11 16:57:30,7.44,83.93,Cash,1.45,2,
89,89,2025-08-21 09:22:18,2025-08-21 09:45:18,11.51,121.78,Cash,1.35,3,
90,90,2025-04-28 03:17:13,2025-04-28 03:25:13,4.05,46.99,Wallet,1.19,1,
91,91,2025-09-01 22:07:52,2025-09-01 22:37:52,15.29,183.68,Cash,1.19,0,
92,92,2025-04-30 04:43:26,2025-04-30 05:30:26,23.5,243.43,Card,1.13,0,
93,93,2025-06-13 14:10:05,2025-06-13 14:19:05,4.82,50.49,Wallet,1.25,1,
94,94,2025-04-17 19:20:17,2025-04-17 19:42:17,11.2,132.65,Card,1.31,2,
95,95,2025-04-13 22:12:03,2025-04-13 22:51:03,19.79,260.55,Cash,1.21,1,
96,96,2025-08-26 05:51:07,2025-08-26 05:57:07,3.34,49.12,Card,1.44,0,
97,97,2025-09-08 03:16:48,2025-09-08 03:21:48,2.67,34.01,Cash,1.49,1,
98,98,2025-06-03 06:15:28,2025-06-03 07:02:28,23.79,281.51,Card,1.16,2,
99,99,2025-09-28 02:07:14,2025-09-28 02:54:14,23.98,243.68,Wallet,1.21,0,
100,100,2025-08-27 18:00:53,2025-08-27 18:41:53,20.57,307.3,Cash,1.24,0,
101,101,2025-05-07 15:29:57,2025-05-07 16:06:57,18.6,242.55,Card,1.35,3,
102,102,2025-06-10 09:52:38,2025-06-10 10:03:38,5.61,83.89,Card,1.07,3,
103,103,2025-07-21 15:16:41,2025-07-21 16:03:41,23.66,248.98,Card,1.42,2,
104,104,2025-08-26 23:50:03,2025-08-27 00:33:03,21.7,245.78,Card,1.3,0,
105,105,2025-05-16 21:02:43,2025-05-16 21:05:43,1.75,24.22,Cash,1.08,3,
106,106,2025-04-23 18:09:17,2025-04-23 18:44:17,17.97,192.27,Cash,1.45,1,
107,107,2025-04-28 17:46:24,2025-04-28 17:49:24,1.5,17.67,Wallet,1.03,3,
108,108,2025-04-21 04:30:55,2025-04-21 04:55:55,12.78,146.17,Cash,1.41,1,
111,111,2025-07-11 07:37:14,2025-07-11 08:05:14,14.3,178.87,Cash,1.15,1,
112,112,2025-09-12 04:33:58,2025-09-12 04:59:58,13.24,162.89,Cash,1.49,1,
113,113,2025-07-07 06:56:15,2025-07-07 06:58:15,1.28,16.1,Wallet,1.06,1,
114,114,2025-09-30 01:48:49,2025-09-30 01:53:49,2.99,35.98,Cash,1.15,1,
115,115,2025-09-07 19:30:42,2025-09-07 20:16:42,23.01,248.24,Wallet,1.09,1,
117,117,2025-07-08 22:28:30,2025-07-08 22:34:30,3.07,32.17,Cash,1.22,3,
118,118,2025-10-04 18:46:07,2025-10-04 19:13:07,13.61,186.95,Cash,1.24,2,
122,122,2025-08-04 11:46:22,2025-08-04 11:51:22,2.64,38.58,Card,1.02,2,
123,123,2025-10-07 16:56:17,2025-10-07 17:38:17,21.03,273.32,Cash,1.02,2,
124,124,2025-08-16 07:50:55,2025-08-16 08:19:55,14.91,154.19,Wallet,1.27,0,
125,125,2025-09-26 11:03:13,2025-09-26 11:11:13,4.32,62.7,Wallet,1.34,1,
126,126,2025-09-27 19:19:33,2025-09-27 19:54:33,17.91,195.71,Cash,1.28,1,
127,127,2025-06-29 17:14:22,2025-06-29 17:58:22,22.23,241.63,Wallet,1.25,0,
128,128,2025-06-03 10:32:43,2025-06-03 10:53:43,10.54,125.22,Cash,1.24,3,
131,131,2025-08-11 05:36:22,2025-08-11 05:38:22,1.39,15.21,Card,1.04,3,
135,135,2025-07-08 04:02:43,2025-07-08 04:17:43,7.93,96.0,Cash,1.44,1,
139,139,2025-05-23 17:46:56,2025-05-23 18:21:56,17.57,234.42,Card,1.24,1,
141,141,2025-07-28 05:11:27,2025-07-28 05:22:27,5.78,60.88,Wallet,1.05,0,
142,142,2025-05-15 00:29:10,2025-05-15 00:50:10,10.54,129.12,Card,1.37,1,
143,143,2025-08-02 16:29:17,2025-08-02 16:57:17,14.0,176.27,Wallet,1.25,2,
144,144,2025-07-10 09:07:45,2025-07-10 09:36:45,14.64,163.6,Wallet,1.08,0,
145,145,2025-07-20 16:00:13,2025-07-20 16:26:13,13.05,193.35,Card,1.09,1,
147,147,2025-05-21 08:54:33,2025-05-21 09:02:33,4.27,60.08,Card,1.41,3,
148,148,2025-10-04 01:27:07,2025-10-04 02:09:07,21.0,211.43,Cash,1.33,1,
149,149,2025-05-26 16:09:21,2025-05-26 16:16:21,3.71,37.7,Wallet,1.01,0,
150,150,2025-07-12 20:19:20,2025-07-12 20:22:20,1.98,26.08,Card,1.37,1,
151,151,2025-04-21 03:21:37,2025-04-21 03:37:37,8.26,99.59,Cash,1.08,1,
153,153,2025-06-12 03:20:01,2025-06-12 03:27:01,3.58,42.09,Cash,1.07,2,
154,154,2025-09-13 17:19:21,2025-09-13 17:48:21,14.85,207.9,Card,1.1,0,
155,155,2025-08-12 08:14:29,2025-08-12 08:54:29,20.42,259.02,Cash,1.1,3,
157,157,2025-09-16 06:58:21,2025-09-16 07:16:21,9.01,100.06,Card,1.18,1,
158,158,2025-08-31 17:25:10,2025-08-31 17:53:10,14.12,147.21,Cash,1.25,3,
160,160,2025-05-26 11:12:49,2025-05-26 11:56:49,22.25,246.96,Cash,1.08,0,
161,161,2025-09-05 11:31:36,2025-09-05 11:50:36,9.93,136.16,Cash,1.26,3,
162,162,2025-04-21 17:54:30,2025-04-21 17:56:30,1.44,15.58,Wallet,1.17,1,
164,164,2025-07-06 04:05:35,2025-07-06 04:42:35,18.64,278.35,Cash,1.0,2,
165,165,2025-09-22 21:30:41,2025-09-22 21:36:41,3.14,42.4,Card,1.42,3,
166,166,2025-06-07 15:13:40,2025-06-07 15:39:40,13.29,133.58,Wallet,1.33,3,
167,167,2025-05-09 05:37:36,2025-05-09 06:01:36,12.22,159.75,Card,1.09,1,
168,168,2025-09-25 14:56:55,2025-09-25 15:44:55,24.43,308.84,Card,1.08,0,
170,170,2025-08-14 18:08:12,2025-08-14 18:26:12,9.45,101.07,Cash,1.36,0,
172,172,2025-04-11 00:10:48,2025-04-11 00:16:48,3.35,39.37,Wallet,1.18,1,
173,173,2025-04-17 07:20:02,2025-04-17 07:57:02,18.69,210.25,Card,1.44,0,
175,175,2025-09-13 13:31:57,2025-09-13 13:49:57,9.21,119.39,Wallet,1.45,2,
176,176,2025-04-17 08:33:25,2025-04-17 09:04:25,15.76,198.76,Cash,1.33,0,
177,177,2025-08-29 16:32:24,2025-08-29 17:10:24,19.1,286.31,Cash,1.45,0,
178,178,2025-05-19 19:22:11,2025-05-19 19:48:11,13.33,189.54,Card,1.48,2,
180,180,2025-08-08 09:40:38,2025-08-08 10:12:38,16.13,208.24,Card,1.48,0,
184,184,2025-06-18 01:27:21,2025-06-18 01:43:21,8.4,118.05,Cash,1.49,2,
185,185,2025-05-16 19:43:02,2025-05-16 19:54:02,5.52,66.52,Wallet,1.37,1,
186,186,2025-08-10 03:15:57,2025-08-10 03:55:57,20.44,275.15,Card,1.5,3,
187,187,2025-04-23 20:30:51,2025-04-23 20:32:51,1.05,12.3,Wallet,1.23,0,
188,188,2025-07-23 16:10:37,2025-07-23 16:28:37,9.36,95.26,Wallet,1.17,1,
192,192,2025-08-03 03:52:51,2025-08-03 04:04:51,6.08,70.32,Wallet,1.25,1,
193,193,2025-08-25 12:47:28,2025-08-25 13:01:28,7.34,76.0,Wallet,1.28,1,
194,194,2025-06-06 16:45:55,2025-06-06 17:34:55,24.82,265.7,Wallet,1.39,0,
195,195,2025-05-30 20:30:46,2025-05-30 20:41:46,5.93,77.15,Card,1.4,0,
197,197,2025-06-08 18:47:07,2025-06-08 19:02:07,7.76,85.41,Cash,1.43,2,
198,198,2025-05-27 17:09:43,2025-05-27 17:51:43,21.12,271.01,Wallet,1.02,1,
200,200,2025-05-27 03:57:46,2025-05-27 04:20:46,11.72,135.45,Cash,1.39,3,
201,201,2025-09-26 02:50:19,2025-09-26 03:26:19,18.09,207.18,Card,1.38,0,
203,203,2025-10-07 05:06:21,2025-10-07 05:26:21,10.47,129.45,Cash,1.06,2,
205,205,2025-08-03 05:40:04,2025-08-03 06:05:04,12.79,171.24,Cash,1.49,1,
206,206,2025-09-18 13:01:19,2025-09-18 13:17:19,8.27,106.84,Card,1.02,1,
208,208,2025-08-03 05:45:07,2025-08-03 06:26:07,20.64,226.05,Card,1.42,1,
212,212,2025-05-01 12:19:18,2025-05-01 13:05:18,23.37,285.77,Wallet,1.24,3,
213,213,2025-05-10 08:38:04,2025-05-10 09:14:04,18.26,268.84,Cash,1.48,0,
214,214,2025-10-02 02:34:07,2025-10-02 02:57:07,11.73,168.53,Cash,1.27,1,
215,215,2025-09-21 03:43:11,2025-09-21 03:59:11,8.15,105.17,Wallet,1.46,0,
216,216,2025-07-09 12:27:55,2025-07-09 12:29:55,1.47,15.72,Wallet,1.28,1,
217,217,2025-05-01 15:06:27,2025-05-01 15:32:27,13.0,183.67,Card,1.27,0,
218,218,2025-07-24 03:37:25,2025-07-24 04:02:25,12.76,134.38,Wallet,1.34,2,
219,219,2025-09-06 12:19:16,2025-09-06 12:49:16,15.45,207.83,Cash,1.02,3,
220,220,2025-07-13 08:31:37,2025-07-13 09:06:37,17.51,250.41,Card,1.16,2,
222,222,2025-07-13 16:15:27,2025-07-13 17:04:27,24.68,256.38,Cash,1.26,0,
223,223,2025-06-01 10:16:04,2025-06-01 10:54:04,19.04,217.52,Cash,1.12,3,
225,225,2025-10-07 21:58:10,2025-10-07 22:45:10,23.94,318.83,Wallet,1.43,3,
226,226,2025-06-01 05:22:25,2025-06-01 05:24:25,1.21,12.79,Cash,1.03,3,
227,227,2025-05-12 19:59:28,2025-05-12 20:13:28,7.03,88.54,Cash,1.25,1,
228,228,2025-07-23 02:12:01,2025-07-23 02:19:01,3.68,47.82,Cash,1.06,3,
229,229,2025-10-01 18:19:01,2025-10-01 18:21:01,1.11,16.01,Card,1.34,1,
231,231,2025-07-18 16:26:26,2025-07-18 16:52:26,13.11,155.13,Card,1.39,0,
232,232,2025-04-19 09:36:12,2025-04-19 09:56:12,10.1,106.54,Card,1.02,0,
233,233,2025-06-05 11:53:31,2025-06-05 12:38:31,22.64,321.89,Wallet,1.37,0,
236,236,2025-06-09 16:00:01,2025-06-09 16:46:01,23.03,263.57,Card,1.18,1,
238,238,2025-09-20 02:17:24,2025-09-20 02:38:24,10.68,135.69,Cash,1.29,2,
240,240,2025-05-26 04:32:01,2025-05-26 05:05:01,16.98,229.29,Wallet,1.34,0,
241,241,2025-05-21 14:14:49,2025-05-21 14:20:49,3.01,42.88,Cash,1.44,0,
242,242,2025-09-02 13:02:32,2025-09-02 13:08:32,3.42,37.76,Cash,1.12,3,
243,243,2025-07-31 20:01:28,2025-07-31 20:10:28,4.96,52.65,Wallet,1.37,0,
244,244,2025-10-02 16:04:11,2025-10-02 16:26:11,11.41,159.74,Cash,1.41,3,
246,246,2025-07-31 03:21:02,2025-07-31 03:53:02,16.32,186.0,Card,1.03,1,
247,247,2025-04-29 18:02:58,2025-04-29 18:30:58,14.28,183.72,Card,1.46,0,
248,248,2025-08-03 05:57:03,2025-08-03 06:12:03,7.76,88.79,Wallet,1.43,2,
250,250,2025-05-24 02:08:20,2025-05-24 02:55:20,23.74,330.37,Wallet,1.5,3,
251,251,2025-05-17 13:36:34,2025-05-17 13:42:34,3.02,39.21,Cash,1.04,3,
252,252,2025-05-18 19:54:12,2025-05-18 20:11:12,8.9,116.14,Cash,1.23,3,
254,254,2025-09-18 13:23:31,2025-09-18 13:27:31,2.2,29.85,Wallet,1.47,1,
255,255,2025-05-14 17:18:15,2025-05-14 17:50:15,16.27,242.95,Card,1.04,0,
256,256,2025-07-11 00:33:21,2025-07-11 01:09:21,18.42,216.48,Card,1.18,2,
258,258,2025-05-19 05:48:28,2025-05-19 05:54:28,3.48,41.09,Cash,1.06,3,
259,259,2025-08-25 19:20:02,2025-08-25 19:39:02,9.59,106.56,Wallet,1.19,0,
260,260,2025-04-17 19:08:35,2025-04-17 19:14:35,3.32,46.1,Card,1.21,0,
261,261,2025-07-04 09:26:50,2025-07-04 10:02:50,18.48,215.86,Card,1.36,3,
263,263,2025-08-20 04:09:38,2025-08-20 04:16:38,3.92,49.88,Cash,1.24,1,
265,265,2025-04-12 00:40:45,2025-04-12 01:20:45,20.38,279.94,Card,1.03,0,
266,266,2025-08-31 10:02:39,2025-08-31 10:21:39,9.67,142.57,Cash,1.16,0,
267,267,2025-07-12 01:26:29,2025-07-12 02:09:29,21.78,280.18,Cash,1.15,0,
268,268,2025-09-13 12:35:05,2025-09-13 13:03:05,14.05,178.25,Cash,1.49,2,
269,269,2025-08-03 01:03:32,2025-08-03 01:13:32,5.34,78.3,Card,1.02,2,
270,270,2025-10-01 04:55:33,2025-10-01 05:26:33,15.93,188.46,Card,1.2,3,
271,271,2025-09-23 18:20:50,2025-09-23 18:26:50,3.09,40.62,Wallet,1.07,2,
272,272,2025-09-09 01:58:44,2025-09-09 02:10:44,6.43,68.53,Cash,1.36,1,
273,273,2025-07-03 04:44:34,2025-07-03 05:07:34,11.62,127.89,Cash,1.08,1,
274,274,2025-04-20 13:19:16,2025-04-20 13:42:16,11.59,149.07,Card,1.1,2,
275,275,2025-07-07 06:26:53,2025-07-07 06:57:53,15.91,184.91,Wallet,1.16,3,
276,276,2025-06-14 11:36:53,2025-06-14 12:13:53,18.63,264.06,Cash,1.12,0,
277,277,2025-06-29 15:29:21,2025-06-29 16:02:21,16.82,174.92,Card,1.42,1,
278,278,2025-07-14 02:22:26,2025-07-14 02:51:26,14.71,199.94,Cash,1.45,3,
279,279,2025-10-02 10:39:04,2025-10-02 11:13:04,17.2,238.44,Wallet,1.18,2,
281,281,2025-08-03 13:28:43,2025-08-03 13:49:43,10.69,155.06,Cash,1.27,3,
284,284,2025-09-22 03:47:03,2025-09-22 04:06:03,9.89,123.7,Wallet,1.32,1,
285,285,2025-09-24 15:19:44,2025-09-24 16:04:44,22.93,292.79,Cash,1.01,3,
287,287,2025-06-26 11:21:00,2025-06-26 12:04:00,21.85,326.33,Wallet,1.02,3,
288,288,2025-06-05 08:52:44,2025-06-05 09:41:44,24.95,343.36,Wallet,1.4,0,
289,289,2025-06-05 09:48:35,2025-06-05 09:53:35,2.63,34.13,Wallet,1.02,0,
290,290,2025-04-25 22:31:28,2025-04-25 22:42:28,5.7,78.6,Card,1.08,2,
294,294,2025-09-04 17:46:38,2025-09-04 18:19:38,16.64,183.44,Cash,1.17,2,
296,296,2025-09-18 19:26:33,2025-09-18 19:36:33,5.19,64.96,Cash,1.35,2,
297,297,2025-06-27 04:59:12,2025-06-27 05:23:12,12.39,148.92,Cash,1.35,2,
298,298,2025-05-18 14:11:50,2025-05-18 14:50:50,19.78,201.82,Card,1.01,2,
301,301,2025-05-03 09:15:51,2025-05-03 09:22:51,3.69,50.17,Cash,1.35,1,
302,302,2025-06-15 08:21:46,2025-06-15 08:29:46,4.45,57.93,Card,1.39,3,
304,304,2025-09-18 20:16:23,2025-09-18 20:52:23,18.48,254.03,Cash,1.49,0,
305,305,2025-05-14 12:07:39,2025-05-14 12:51:39,22.41,283.17,Card,1.46,1,
307,307,2025-07-27 12:52:20,2025-07-27 13:09:20,8.75,92.2,Cash,1.08,3,
308,308,2025-04-10 06:29:34,2025-04-10 07:12:34,21.79,240.46,Cash,1.47,1,
310,310,2025-07-14 21:23:50,2025-07-14 22:10:50,23.89,340.58,Wallet,1.4,0,
312,312,2025-05-26 18:13:30,2025-05-26 19:00:30,23.91,336.7,Cash,1.17,2,
313,313,2025-09-28 07:31:39,2025-09-28 07:33:39,1.48,15.84,Cash,1.18,2,
314,314,2025-07-12 00:13:23,2025-07-12 00:49:23,18.24,224.09,Cash,1.34,1,
315,315,2025-08-06 01:16:42,2025-08-06 01:52:42,18.19,257.42,Wallet,1.22,0,
317,317,2025-05-28 18:14:24,2025-05-28 18:24:24,5.07,57.63,Cash,1.19,1,
319,319,2025-07-05 16:11:28,2025-07-05 16:52:28,20.62,235.7,Wallet,1.28,2,
320,320,2025-08-12 21:00:35,2025-08-12 21:03:35,1.79,21.88,Card,1.13,0,
322,322,2025-09-20 23:04:49,2025-09-20 23:10:49,3.25,37.95,Cash,1.23,1,
323,323,2025-09-26 06:41:56,2025-09-26 07:10:56,14.8,209.61,Card,1.12,1,
324,324,2025-06-27 15:23:53,2025-06-27 16:08:53,22.8,315.23,Wallet,1.08,0,
325,325,2025-05-08 01:52:08,2025-05-08 02:38:08,23.13,343.45,Wallet,1.33,2,
326,326,2025-06-04 04:02:09,2025-06-04 04:32:09,15.34,212.18,Wallet,1.1,0,
328,328,2025-06-27 17:55:01,2025-06-27 18:29:01,17.22,174.2,Card,1.12,3,
330,330,2025-07-05 10:37:37,2025-07-05 11:08:37,15.64,216.88,Wallet,1.14,0,
336,336,2025-08-04 01:36:14,2025-08-04 02:01:14,12.82,138.25,Cash,1.42,1,
337,337,2025-10-07 23:19:30,2025-10-07 23:53:30,17.25,203.0,Card,1.02,2,
338,338,2025-04-19 08:43:37,2025-04-19 08:48:37,2.85,40.76,Cash,1.36,1,
339,339,2025-08-18 20:12:05,2025-08-18 20:52:05,20.02,215.81,Card,1.21,1,
340,340,2025-06-08 12:39:45,2025-06-08 12:53:45,7.33,98.17,Wallet,1.47,1,
342,342,2025-05-24 14:32:02,2025-05-24 14:45:02,6.66,73.29,Cash,1.04,1,
343,343,2025-07-25 19:38:07,2025-07-25 20:17:07,19.7,209.31,Wallet,1.25,3,
344,344,2025-07-29 10:04:52,2025-07-29 10:20:52,8.49,109.89,Cash,1.21,2,
346,346,2025-04-24 21:30:24,2025-04-24 21:38:24,4.42,64.07,Cash,1.0,0,
347,347,2025-10-07 02:55:16,2025-10-07 03:02:16,3.93,58.19,Wallet,1.24,2,
349,349,2025-09-20 12:37:43,2025-09-20 12:50:43,6.74,98.2,Wallet,1.49,2,
352,352,2025-09-10 04:15:10,2025-09-10 04:48:10,16.71,228.1,Wallet,1.16,1,
354,354,2025-09-16 09:44:07,2025-09-16 10:10:07,13.35,166.36,Wallet,1.46,3,
355,355,2025-05-16 21:27:25,2025-05-16 21:51:25,12.39,163.41,Cash,1.26,3,
357,357,2025-06-05 23:22:18,2025-06-06 00:05:18,21.87,253.6,Wallet,1.15,0,
358,358,2025-04-13 19:06:10,2025-04-13 19:34:10,14.2,156.72,Card,1.03,0,
359,359,2025-09-10 02:58:58,2025-09-10 03:28:58,15.42,220.42,Card,1.32,1,
361,361,2025-08-13 16:59:54,2025-08-13 17:30:54,15.55,223.77,Cash,1.05,3,
363,363,2025-06-11 16:16:03,2025-06-11 16:29:03,6.76,85.24,Cash,1.18,2,
364,364,2025-09-07 15:20:00,2025-09-07 15:31:00,5.7,71.73,Cash,1.04,3,
365,365,2025-04-27 19:59:57,2025-04-27 20:13:57,7.3,104.21,Card,1.05,1,
367,367,2025-05-31 14:31:42,2025-05-31 14:34:42,1.54,17.51,Wallet,1.33,1,
369,369,2025-06-10 07:46:24,2025-06-10 08:26:24,20.35,217.12,Card,1.12,3,
370,370,2025-06-25 09:08:17,2025-06-25 09:29:17,10.8,117.44,Wallet,1.45,3,
372,372,2025-04-10 14:15:07,2025-04-10 14:27:07,6.3,84.22,Cash,1.24,0,
373,373,2025-09-09 08:13:47,2025-09-09 08:25:47,6.03,79.08,Wallet,1.09,0,
374,374,2025-05-17 12:28:30,2025-05-17 13:14:30,23.25,283.36,Wallet,1.48,2,
375,375,2025-10-04 07:03:43,2025-10-04 07:30:43,13.67,154.65,Card,1.4,2,
376,376,2025-08-04 04:12:51,2025-08-04 04:58:51,23.13,308.33,Wallet,1.08,0,
377,377,2025-07-20 20:04:37,2025-07-20 20:19:37,7.75,100.28,Cash,1.36,0,
378,378,2025-05-12 12:18:28,2025-05-12 12:53:28,17.65,197.85,Card,1.19,3,
380,380,2025-05-27 17:44:03,2025-05-27 18:05:03,10.58,119.91,Cash,1.11,0,
381,381,2025-04-22 06:44:45,2025-04-22 07:18:45,17.12,205.37,Card,1.27,1,
383,383,2025-10-04 02:14:44,2025-10-04 03:02:44,24.02,351.03,Card,1.02,0,
384,384,2025-04-13 16:37:57,2025-04-13 17:15:57,19.14,272.65,Wallet,1.16,2,
385,385,2025-08-16 06:28:49,2025-08-16 07:09:49,20.99,293.4,Wallet,1.46,0,
386,386,2025-08-05 22:13:15,2025-08-05 22:38:15,12.69,142.06,Wallet,1.32,2,
387,387,2025-07-11 09:38:20,2025-07-11 10:25:20,23.69,322.31,Cash,1.39,2,
390,390,2025-04-19 03:45:51,2025-04-19 04:25:51,20.02,243.4,Cash,1.22,3,
391,391,2025-05-17 15:55:59,2025-05-17 16:37:59,21.35,253.43,Cash,1.09,0,
392,392,2025-06-13 01:11:29,2025-06-13 01:33:29,11.3,126.11,Cash,1.45,1,
393,393,2025-09-22 01:59:02,2025-09-22 02:07:02,4.22,61.77,Wallet,1.08,0,
